Centrifugal pump 3 HP || S1:Industrial Supplies & Equipment > Pumps > Centrifugal process pump (58.11) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Pumps>Centrifugal process pump [Ambiguous]
Dry vacuum cleaner || S1:Janitorial, Sanitation & Waste > Cleaning Machines > Wet and dry vacuum cleaner (71.33) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Cleaning Machines>Wet and dry vacuum cleaner [Ambiguous]
Safety shoes steel toe || S1:Safety, PPE & Security > Foot Protection > Steel toe safety shoe (74.6) || S2: >  (use=False) || Final:Safety, PPE & Security>Foot Protection>Steel toe safety shoe [Ambiguous]
Nylon cable tie 200 mm || S1:General Industrial > General Consumables > Nylon cable tie 200 mm (62.16) || S2: >  (use=False) || Final:General Industrial>General Consumables>Nylon cable tie 200 mm [Ambiguous]
Flexible motor couling || S1:General Industrial > General Consumables > Flexible motor couling (55.02) || S2: >  (use=False) || Final:General Industrial>General Consumables>Flexible motor couling [Ambiguous]
Chain lubricant spray || S1:Chemicals, Lubricants & Adhesives > Specialty Products > Chain lubricant spray (72.27) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Specialty Products>Chain lubricant spray [Ambiguous]
Epoxy adhesive twin pack || S1:General Industrial > General Consumables > Epoxy adhesive twin pack (61.16) || S2: >  (use=False) || Final:General Industrial>General Consumables>Epoxy adhesive twin pack [Ambiguous]
Wire rope 10 mm || S1:Mechanical & Maintenance > Mechanical Parts > Wire rope 10 mm (62.01) || S2: >  (use=False) || Final:Mechanical & Maintenance>Mechanical Parts>Wire rope 10 mm [Ambiguous]
Ultrasonic level transmitter || S1:IT, Networks, Automation & Instrumentation > Sensors & Transmitters > Ultrasonic level transmitter (69.96) || S2: >  (use=False) || Final:IT, Networks, Automation & Instrumentation>Sensors & Transmitters>Ultrasonic level transmitter [Ambiguous]
Blue ball pen || S1:Office, Breakroom & Facility Supplies > Stationery > Ball point pen (50.85) || S2: >  (use=False) || Final:Office, Breakroom & Facility Supplies>Stationery>Ball point pen [Ambiguous]
Stainless steel gate valve || S1:Industrial Supplies & Equipment > Valves > Gate valve (58.39) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Valves>Gate valve [Ambiguous]
16 A switch socket || S1:Electrical & Instrumentation > Electrical Components > 16 A switch socket (55.5) || S2: >  (use=False) || Final:Electrical & Instrumentation>Electrical Components>16 A switch socket [Ambiguous]
Whiteboard marker pen || S1:Office & Stationery > Office Supplies > Whiteboard marker pen (60.73) || S2: >  (use=False) || Final:Office & Stationery>Office Supplies>Whiteboard marker pen [Ambiguous]
Measuring tape 5 m || S1:Tools & Hardware > Measuring Tools > Steel measuring tape (55.63) || S2: >  (use=False) || Final:Tools & Hardware>Measuring Tools>Steel measuring tape [Ambiguous]
Linear motion bearing || S1:Industrial Supplies & Equipment > Bearings > Linear motion bearing (78.21) || S2: >  (use=False) || Final:Industrial Supplies & Equipment>Bearings>Linear motion bearing [Ambiguous]
Cutting fluid coolant || S1:Chemicals, Lubricants & Adhesives > Process Chemicals > Cutting coolant (55.19) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Process Chemicals>Cutting coolant [Ambiguous]
Stainless steel waste bin || S1:Janitorial, Sanitation & Waste > Waste Management > Plastic pedal bin (63.85) || S2: >  (use=False) || Final:Janitorial, Sanitation & Waste>Waste Management>Plastic pedal bin [Ambiguous]
Outside micrometer 0-25 mm || S1:Tools & Hardware > Measuring Tools > Micrometer (52.5) || S2: >  (use=False) || Final:Tools & Hardware>Measuring Tools>Micrometer [Ambiguous]
Hydraulic oil ISO VG 46 || S1:Chemicals, Lubricants & Adhesives > Industrial Oils > Hydraulic oil ISO VG 46 (77.67) || S2: >  (use=False) || Final:Chemicals, Lubricants & Adhesives>Industrial Oils>Hydraulic oil ISO VG 46 [Ambiguous]
Insuated screwdriver set || S1:Tools & Hardware > Hand Tools > Screwdriver set (57.87) || S2: >  (use=False) || Final:Tools & Hardware>Hand Tools>Screwdriver set [Ambiguous]
